Landkreis;Summe von Wohnort;Summe von Einpendler;Summe von Auspendler
01001;32323;23363;11096
01002;91908;61487;27950
01003;80035;43805;24823
01004;30015;22314;11699
01051;48664;29299;35628
01053;75481;34617;60157
01054;63042;39888;42017
01055;73403;41006;52140
01056;128499;68644;104486
01057;46211;20486;38622
01058;100055;62176;82255
01059;70539;42365;56194
01060;113194;67912;89178
01061;51163;28041;39019
01062;95504;71295;79806
02000;768571;359520;132332
03101;102797;66069;36715
03102;39019;25372;15819
03103;52446;78664;9872
03151;72630;30198;59844
03153;48916;23759;27165
03154;37385;14543;29917
03155;51307;26472;32117
03157;54179;20027;41197
03158;46957;16270;37904
03159;122055;76429;68089
03241;452982;311943;247976
03251;89700;48904;67447
03252;56509;29259;33673
03254;105638;56302;69149
03255;25920;15120;17923
03256;48217;27420;34867
03257;59725;32360;46689
03351;66821;33432;42790
03352;73462;25424;49738
03353;103720;47733;85334
03354;16270;9809;11673
03355;69882;39249;49668
03356;44884;18399;36237
03357;67875;38042;48963
03358;54440;28266;34695
03359;82777;41608;61158
03360;34147;18546;22675
03361;54763;33920;40450
03401;26125;11060;16757
03402;18273;19824;4842
03403;65434;42782;23860
03404;66112;56561;26031
03405;25770;13013;8258
03451;48941;29121;33836
03452;70690;35640;45201
03453;72022;42315;46773
03454;134437;87177;81014
03455;36374;18089;25013
03456;53697;28302;31312
03457;62556;29511;43965
03458;55820;23840;42639
03459;152640;87477;109450
03460;64651;45997;37890
03461;34751;16845;21132
03462;20752;9778;14088
04011;208919;118623;46268
04012;40837;24053;12023
05111;251511;261388;88636
05112;174739;86678;86190
05113;206496;129689;85671
05114;83232;51443;40345
05116;96787;45183;41910
05117;60402;35644;36651
05119;75238;37455;46398
05120;42333;21560;17877
05122;62470;19984;28559
05124;127846;49885;51156
05154;115599;61335;74293
05158;187441;138410;132591
05162;176969;98844;125736
05166;112473;61763;80231
05170;169489;91464;122756
05314;119965;105487;45000
05315;426259;284207;128138
05316;63556;37124;35630
05334;206745;126172;113526
05358;100280;56746;71311
05362;184783;104408;143924
05366;73623;36957;52698
05370;94432;48011;68815
05374;109632;69879;73669
05378;107895;48000;80481
05382;228702;114548;179890
05512;41890;18910;27256
05513;85053;44899;48397
05515;119802;84296;31792
05554;152789;78283;82194
05558;90725;42830;63062
05562;223290;104242;156027
05566;186575;98429;123245
05570;114728;54060;75188
05711;128488;69551;40005
05754;159125;121614;98460
05758;102157;65030;71927
05762;55299;24553;34535
05766;135714;70678;91244
05770;126062;81927;78748
05774;123916;64227;67929
05911;132087;69132;64885
05913;215842;112835;82189
05914;69601;31902;30355
05915;65365;22614;27585
05916;53658;26525;34194
05954;124466;72116;86631
05958;108195;48904;49854
05962;164496;88984;89970
05966;57829;36041;33731
05970;112570;71131;65776
05974;121322;65685;74456
05978;149469;90632;107060
06411;63820;72603;31121
06412;315445;387518;100930
06413;55081;33098;39951
06414;110038;77721;50092
06431;107106;52027;82817
06432;120789;57759;101258
06433;114559;78866;92393
06434;88751;78731;69940
06435;168222;101367;130987
06436;97661;87714;83037
06437;37482;18547;28386
06438;143481;101440;116431
06439;71676;32253;58342
06440;122537;62567;98082
06531;100286;72685;73761
06532;99005;67328;70682
06533;65636;40490;51237
06534;95315;59518;62127
06535;41837;19722;29075
06611;74527;64944;26699
06631;89702;65476;60993
06632;46877;33717;32272
06633;92092;56565;73818
06634;72195;38070;54206
06635;64637;38587;39354
06636;36843;17256;25544
07111;41912;50248;16735
07131;48965;24303;37981
07132;50748;30256;41679
07133;60908;37956;45240
07134;30587;17470;18779
07135;23854;14372;17984
07137;83445;53614;67322
07138;71186;45975;52954
07140;42272;28790;31527
07141;47100;23839;36968
07143;81787;56201;67594
07211;35697;30386;10103
07231;43953;28439;31095
07232;30788;20722;22185
07233;23136;14943;16924
07235;45905;22711;38204
07311;16090;13374;11042
07312;36809;31268;13897
07313;17523;16461;10195
07314;67758;72300;35225
07315;87270;70677;43189
07316;20195;9964;12606
07317;14293;11983;5593
07318;19457;20392;10551
07319;33865;17558;17374
07320;13182;9517;7322
07331;53123;22791;45688
07332;52526;23369;43672
07333;30269;16884;23998
07334;54956;36580;45543
07335;40381;20671;35145
07336;26899;9652;22370
07337;43714;25204;37283
07338;64248;21277;56981
07339;85888;44598;72899
07340;37117;10721;32445
08111;265214;257924;97310
08115;170047;147218;133223
08116;230140;168676;178701
08117;105512;65585;82006
08118;236187;161327;189835
08119;180642;114432;141857
08121;54503;44956;27664
08125;153116;114747;121906
08126;51720;45584;37914
08127;86694;54261;56585
08128;56672;36997;36895
08135;55532;34506;36725
08136;131616;82012;84664
08211;21487;20510;11303
08212;124229;102552;48010
08215;188071;116686;146411
08216;101217;68014;74536
08221;54282;62157;24695
08222;129112;115480;53072
08225;60451;30594;44470
08226;224480;135983;183987
08231;51482;31385;23881
08235;68486;31360;51561
08236;85081;47857;68921
08237;52331;30355;34541
08311;84827;69924;25668
08315;104898;60798;81871
08316;70389;38838;55524
08317;186288;123459;124806
08325;60262;39617;41926
08326;89268;52337;52076
08327;61665;45217;39517
08335;107124;58667;62005
08336;77456;51439;49558
08337;57084;35306;36891
08415;121861;75993;81944
08416;90274;54090;61377
08417;79823;41826;51552
08421;53788;64008;21996
08425;86385;37371;67596
08426;88984;62406;64689
08435;91767;61925;58843
08436;121002;80082;80266
08437;55147;31223;37887
09161;62977;65245;20738
09162;684488;403100;191015
09163;26413;23723;14568
09171;46583;36985;35237
09172;36988;24014;24186
09173;51971;24979;38656
09174;70014;32713;59052
09175;62033;32778;53213
09176;57831;32165;48255
09177;63304;34454;51513
09178;84677;67304;67329
09179;90979;39562;78151
09180;33658;15979;20372
09181;48445;29953;38527
09182;40205;26963;30586
09183;48922;29593;36710
09184;143829;218093;121322
09185;42854;21198;31077
09186;57243;32409;45970
09187;104312;62695;81113
09188;49908;42289;39816
09189;71274;47864;50126
09190;55595;34653;40053
09261;30212;24493;16624
09262;19220;27263;6325
09263;19876;18456;8017
09271;50593;36335;36046
09272;32092;18404;24131
09273;54054;25799;39640
09274;69406;39521;57345
09275;77673;42780;58495
09276;31410;20419;22834
09277;49065;27049;36427
09278;43568;19916;36123
09279;44676;38698;32806
09361;17070;18055;7245
09362;65546;79839;19848
09363;16944;18239;6924
09371;44259;19142;34099
09372;54061;35901;38905
09373;58665;33125;40453
09374;39677;23413;32157
09375;84130;37661;72548
09376;64183;39412;47319
09377;29905;18606;22022
09461;29512;37322;12377
09462;27594;29036;8619
09463;17096;23859;7027
09464;17461;14435;7172
09471;65651;30345;56095
09472;43886;16262;35907
09473;38367;21023;30217
09474;50892;23095;41537
09475;38027;28270;28050
09476;28819;17612;20611
09477;30780;18898;21539
09478;29240;20521;20885
09479;28336;19234;17820
09561;17403;17967;7578
09562;48502;62816;19369
09563;57298;32234;40790
09564;223316;162863;71715
09565;17027;11330;11426
09571;80586;42194;60037
09572;60180;41451;48395
09573;49852;19213;43385
09574;71938;40669;58099
09575;43825;23607;33480
09576;54573;27252;41591
09577;39534;21092;27505
09661;29410;33171;15571
09662;20702;40764;7574
09663;52980;58241;19070
09671;73090;41657;61370
09672;42156;24289;30938
09673;33776;24755;25728
09674;36419;20666;28559
09675;39122;24574;29582
09676;54139;35420;45233
09677;54795;33389;40613
09678;49719;20671;43777
09679;67740;32217;59779
09761;123488;75198;51263
09762;18121;9970;8978
09763;28813;21568;13212
09764;18780;19756;7384
09771;56512;26236;45695
09772;105432;60821;88760
09773;42008;23694;31289
09774;56716;39560;42453
09775;76747;49485;59264
09776;32549;21627;21196
09777;58258;32572;41622
09778;62803;38802;49208
09779;59334;45329;41979
09780;64723;37742;46810
10041;119924;102640;69477
10042;34709;20717;23786
10043;50227;28447;38838
10044;74570;57413;59033
10045;55046;48880;37587
10046;33846;18871;25398
11000;1380329;333859;187147
12051;27528;11988;9860
12052;37295;22027;13174
12053;21376;14167;6854
12054;72042;49621;35557
12060;74388;32839;56721
12061;69994;49515;56665
12062;39873;21767;28402
12063;66003;30442;51435
12064;76953;38347;64025
12065;85618;39238;66939
12066;42799;27608;29397
12067;70168;36390;50447
12068;38477;18920;22074
12069;86625;46168;71132
12070;29271;15947;18074
12071;44121;22835;30315
12072;71943;47202;54218
12073;43216;19909;23752
13003;80987;34543;23031
13004;35723;25668;10561
13071;97822;52184;56231
13072;83784;48894;63589
13073;84562;43372;52440
13074;63363;30599;45224
13075;86999;48069;52393
13076;88315;43891;66787
14511;93044;51919;27847
14521;132730;77656;94674
14522;122217;74210;86536
14523;88510;50152;57180
14524;127402;81067;83130
14612;228999;96812;56466
14625;120193;79996;86564
14626;92487;53905;59434
14627;96601;62584;68851
14628;98695;53231;71706
14713;240794;97724;65824
14729;104375;55321;80886
14730;81917;50688;58295
15001;30079;13304;9967
15002;87170;40785;30783
15003;93708;44133;29368
15081;35297;12884;20927
15082;61469;32044;39023
15083;73639;42736;54545
15084;72645;36523;49807
15085;84459;38489;51070
15086;35888;16277;24481
15087;50105;26025;34254
15088;76706;52964;60466
15089;72219;34584;44694
15090;42749;18964;26162
15091;50701;20062;27861
16051;85272;47698;24244
16052;34636;15532;13477
16053;42334;26448;11378
16054;13896;8472;6439
16055;23825;12280;11757
16056;17002;12469;7032
16061;42128;24063;29912
16062;32381;16323;18696
16063;48738;27848;37219
16064;41350;20270;25701
16065;28285;10572;18665
16066;52252;27026;34867
16067;56688;33424;39716
16068;27230;16990;20444
16069;28012;11978;20190
16070;42638;21426;25434
16071;34249;17390;25533
16072;24170;12862;15733
16073;40789;20163;26119
16074;34267;19978;27036
16075;33979;20428;23771
16076;38028;19509;27151
16077;33883;17742;23782
